State / Union Territory,Year,Rice,Wheat,Coarse cereals,Pulses,Food- grains,Oilseeds,Cotton (Lint),Sugar- cane,Raw Jute & Mesta
1. Andhra Pradesh,2002-03,7327,14,2251,1061.6,10653.6,1256.3,1085.7,15387.2,613
,2003-04,8953,7,3498,1239,13697,1614.1,1890,15070,470
,2004-05,9601,5,2771,1019,13396,2209.4,2190,15739,458
,2005-06,11704,9,3862,1376,16951,2041,2108,17656,455
,2006-07,11872,9,3001,1347,16229,1362,2181,21692,544
,2007-08,13324,8,4274,1697,19303,3390,3491,20296,501
,2008-09,14241,16,4716,1448,20421,2189.1,3569,15380,295
,2009-10,10538,10,3318,1429,15295,1500,3227,11708,191.9
,2010-11,7882.4,1,2205,964.1,11052.5,1332.3,5300,14964,223
,2011-12,7746.2,11,2188.3,933.6,10868.1,723.8,4900,16686,202
,2012-13,6862.4,1,2433.6,1132.7,10429.8,928.3,2025.2,15567,127
,2013-14,6969.7,4,2486.8,1061.8,10522.3,1022.7,1411.1,15385,83
,2014-15,7233.9,6,2310.2,950,10494.1,597.2,2841,13150,50
,2015-16,7488.7,-,1916,1229,10633.7,873,1888,9353,44
,2016-17,7452.4,-,1982,931,10365.4,664.2,1564,7830,63
,2017-18,8166.2,-,2776.1,1217.4,12159.8,1096.7,2087,7789.6,47.2
,2018-19,8234.7,-,1864.5,739.6,10838.8,504.4,1491,8094.6,30.3
,2019-20,8658.9,-,2531.2,1166.7,12356.8,901.2,2508,6724,21.3
,2020-21,7882.9,-,2321.6,1094.6,11299,804.6,1600.6,4138.6,10.4
,2021-22,7789.2,-,2388.7,1088,11266,555.4,1707.6,3654.2,11
2. Arunachal Pradesh,2002-03,152.5,6.3,75.8,7.7,242.3,28.2,-,15.3,-
,2003-04,154.6,6.3,75.8,7.4,244.1,27.3,-,15.2,-
,2004-05,135,8.7,76.4,6.8,226.9,27,-,14.1,-
,2005-06,146.2,6.1,80.3,8.3,240.9,22.7,-,16.8,-
,2006-07,146.2,6.3,84.9,8.3,245.7,22.7,-,16.8,-
,2007-08,158.1,5.3,76.8,8.3,248.5,25.6,-,21.8,-
,2008-09,163.9,5.2,77.7,9,255.8,30.5,-,23.4,-
,2009-10,215.8,4.8,78.6,9.7,308.9,28.3,-,27.1,-
,2010-11,234,5.9,84.7,9.1,333.7,29.1,-,29,-
,2011-12,255,6.5,90.5,10.5,362.5,33,-,30,-
,2012-13,263,4.4,91.6,10.6,369.6,30.8,-,30.2,-
,2013-14,276.2,4.5,92.8,11.2,384.6,31.4,-,30.4,-
,2014-15,285,7.5,102,14.5,409,33.9,-,29.7,-
,2015-16,204,7.7,102.8,13,327.5,36.4,-,40.8,-
,2016-17,220,7.7,102.5,13.1,343.3,36.6,-,37.7,-
,2017-18,233.3,7.7,104.5,13.5,359.1,37,-,38.4,-
,2018-19,240,7.7,105.4,12,365.2,37,-,45.8,-
,2019-20,244.7,6.7,107.6,14.2,373.2,37.1,-,39.2,-
,2020-21,247.1,7.7,107.9,14.3,377.1,37.3,-,46.4,-
,2021-22,-,-,-,-,-,-,-,-,-
3. Assam,2002-03,3738,78,18,60,3894,149,1,916,716
,2003-04,3880,73,18,64,4035,157,1,981,692
,2004-05,3470.7,68.1,18,61.4,3618.2,146.8,1,883.9,435.8
,2005-06,3552.5,53.7,17.6,54,3677.8,113.2,0.6,871.2,603.6
,2006-07,2916,67,18,59,3060,134,0.6,1055,583.3
,2007-08,3319,71,17,63,3470,139,0.6,980,683.7
,2008-09,4008.5,54.6,15.4,64.5,4143,137.9,0.6,1099.7,674.3
,2009-10,4335.9,63.5,17.2,64.6,4481.2,144.7,0.8,1059,735.5
,2010-11,4736.6,52.8,17,70.1,4876.5,153.6,-,1075,650.7
,2011-12,4516.3,60.3,18.2,68.6,4663.3,149.5,-,993.5,638.8
,2012-13,5128.5,44.2,23.5,84.4,5280.6,186.8,-,1028.2,583.1
,2013-14,4927.1,40.4,25,104.3,5096.8,186.3,-,1075.2,746.6
,2014-15,5222.7,28.8,96.4,111,5458.8,205.7,-,1099.1,793.2
,2015-16,5125.1,34.3,91.6,107.6,5358.6,215.2,-,1038.3,894.1
,2016-17,4727.4,23.5,94.1,107.5,4952.5,204.3,-,1207.2,824.1
,2017-18,5283.7,24.7,101.8,115.8,5525.9,200.6,-,1143,861.5
,2018-19,5220.6,23.7,108,113.5,5465.9,198.4,-,1093.9,781.4
,2019-20,4984.6,14.4,131.3,106.1,5236.4,192.4,-,1218.1,811.7
,2020-21,5214.8,12.9,151.2,108.7,5487.5,199.9,0.4,1093.1,794.2
,2021-22,5268,17.6,131.2,118.6,5535.4,198.3,0.5,1117.7,905.5
4. Bihar,2002-03,5085.5,4040.6,1397.7,560.9,11084.7,104.9,-,4520.5,1093.8
,2003-04,5447.8,3688.9,1513.3,562.6,11212.6,123.8,-,4285.9,1286.3
,2004-05,2472.2,3263.4,1501.9,466.9,7704.4,116.9,-,4111.7,1180.2
,2005-06,3495.5,3239,1405.5,446.8,8586.8,136.5,-,4337.9,1386.6
,2006-07,4989.3,3911.4,1759.7,438.2,11098.6,147.4,-,5955.5,1389.8
,2007-08,4418.1,4450.4,1498.5,497.1,10864.1,137.9,-,3854.9,1464.9
,2008-09,5590.3,4410,1751.3,469.1,12220.7,138,-,4959.9,1220.1
,2009-10,3599.3,4570.8,1508,472.5,10150.6,144.6,-,5032.6,1277.7
,2010-11,3102.1,4097.6,1484.5,537.8,9221.9,136.3,-,12763.6,1310.4
,2011-12,7162.6,4725,1648.3,511.3,14047.2,139.5,-,11288.6,1738.8
,2012-13,7529.3,5357.2,2510.3,542.8,15939.6,143.3,-,12741.4,1717.7
,2013-14,5505.8,4738,2139.9,522,12905.8,146.2,-,12881.8,1745.1
,2014-15,6356.7,3987,2371,493.9,13208.6,127,-,14034.1,1637.1
,2015-16,6802.2,4736.4,2548.6,420.7,14507.9,126.5,-,12649.3,1630
,2016-17,8239.3,5110.8,2719.1,461.7,16530.8,125.9,-,13036,1571
,2017-18,8093.1,6104.3,2385.2,454.2,17036.9,124.3,-,13824.6,1280
,2018-19,6155.5,6465.6,2525.4,453.5,15600.1,125,-,20116.3,1084.5
,2019-20,6298,5579.7,2020.9,334.4,14233,124.7,-,13578.8,802.1
,2020-21,6747,6149.7,2109.1,376.8,15382.6,124.1,-,12109.8,787.5
,2021-22,7064.1,6223.8,2542.9,363.7,16194.4,114.1,-,12063.4,819.1
5. Chhattisgarh,2002-03,2634.9,98.6,175.5,365.7,3274.7,100.7,0.1,10,2
,2003-04,5567.6,108.6,212.9,580.7,6469.8,127,0.2,13.3,2.5
,2004-05,4383.3,82.4,189.5,367.8,5023,123.7,0.8,15.6,2
,2005-06,5011.6,90.7,159.3,453.2,5714.8,126.5,0.4,16.4,3
,2006-07,5041.4,91.7,178.3,493.6,5805,161.4,0.2,18.7,2.9
