State,Area
Andhra Pradesh,6209
Arunachal Pradesh,227
Assam,2801
Bihar,5205
Chhattisgarh,4651
NCT of Delhi,22
Goa,130
Gujarat,10302
Haryana,3522
Himachal Pradesh,551
Jammu and Kashmir,754
Jharkhand,1386
Karnataka,10006
Kerala,2023
Madhya Pradesh,15149
Maharashtra,17192
Manipur,437
Meghalaya,245
Mizoram,145
Nagaland,384
Odisha,4198
Puducherry,15
Punjab,4137
Rajasthan,18024
Sikkim,77
Tamil Nadu,4833
Telangana,4175
Tripura,255
Uttar Pradesh,16469
Uttarakhand,698
West Bengal,5243
